2020-11-11 15:53:06,259 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,260 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,262 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,263 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,264 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,265 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,265 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,268 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,269 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,270 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,271 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,272 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,275 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,275 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,276 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,276 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:06,277 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:53:08,842 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2020-11-11 15:53:08,954 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2020-11-11 15:57:28,677 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,681 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,684 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,687 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,694 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,728 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,729 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,730 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,731 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:57:28,732 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
